age,gender,employment_status,occupation,monthly_income,existing_emi,loan_amount,loan_tenure,credit_score,marital_status,dependents,education,residential_status,eligible
59,Male,Self-Employed,Teacher,3112.68,548.31,117850.01,240,768,Divorced,4,Bachelor,Rented,1
49,Female,Employed,Engineer,3536.81,505.58,76035.58,36,674,Single,2,Master,Parental,1
35,Male,Employed,Engineer,8150.07,796.36,20661.71,24,579,Widowed,4,Diploma,Mortgaged,1
63,Male,Employed,Teacher,4732.1,1024.47,177962.48,12,694,Single,4,Bachelor,Rented,0
28,Female,Employed,Sales,5741.34,128.6,43679.51,24,642,Single,1,High School,Parental,1
41,Female,Self-Employed,Teacher,4044.29,1109.48,150973.95,36,770,Married,3,High School,Rented,0
59,Male,Unemployed,Other,500.0,3.1,60034.58,120,748,Married,4,Bachelor,Rented,0
39,Male,Employed,Farmer,6034.15,1742.09,163516.44,24,637,Married,1,Bachelor,Parental,1
43,Male,Employed,Teacher,5471.87,758.98,28087.38,60,742,Married,2,Diploma,Rented,1
31,Male,Self-Employed,Other,3010.93,372.76,152433.96,24,701,Married,2,Bachelor,Rented,0
31,Female,Employed,Manager,5649.79,434.66,24133.18,120,789,Married,1,Master,Owned,1
44,Male,Self-Employed,Clerk,3228.53,9.75,92148.58,180,738,Married,4,Diploma,Owned,1
56,Female,Employed,Accountant,3343.26,275.61,148130.85,180,723,Single,4,High School,Rented,1
60,Male,Employed,Accountant,3191.5,104.74,38777.58,180,786,Single,3,Bachelor,Parental,1
44,Male,Employed,Doctor,5405.09,1069.92,60704.67,240,681,Married,3,High School,Rented,1
23,Male,Employed,Sales,4425.9,423.66,173629.56,12,618,Single,2,Other,Parental,0
42,Male,Self-Employed,Farmer,6252.56,1439.05,177598.27,12,696,Married,3,Bachelor,Parental,1
22,Male,Employed,Clerk,4935.56,306.37,13762.41,24,651,Married,1,Bachelor,Owned,1
44,Male,Unemployed,Clerk,500.0,135.04,37777.66,84,728,Single,2,Bachelor,Rented,0
64,Female,Student,Manager,1236.73,194.04,27907.03,12,684,Married,4,Bachelor,Rented,0
50,Male,Employed,Teacher,3058.6,105.07,40040.15,60,712,Single,2,High School,Rented,1
58,Female,Unemployed,Sales,500.0,60.13,194186.61,60,583,Married,0,PhD,Owned,0
22,Male,Employed,Engineer,5478.75,339.84,112572.77,48,720,Married,2,Bachelor,Parental,1
41,Female,Employed,Clerk,5293.51,317.11,96281.92,60,577,Married,3,Diploma,Mortgaged,1
53,Female,Self-Employed,Other,5954.2,904.51,196971.14,12,756,Single,1,Bachelor,Rented,1
32,Female,Employed,Engineer,8896.28,1793.2,113606.45,84,757,Married,4,High School,Rented,1
42,Female,Self-Employed,Doctor,5007.1,1369.37,133918.0,120,707,Single,4,High School,Owned,1
64,Male,Employed,Teacher,6768.19,1019.62,69890.26,180,704,Married,3,Bachelor,Rented,1
45,Female,Self-Employed,Teacher,7815.19,2264.47,79512.4,24,662,Married,3,Bachelor,Parental,1
69,Male,Student,Farmer,500.0,141.25,120909.83,120,631,Married,3,Bachelor,Mortgaged,0
47,Female,Student,Clerk,1195.94,310.37,18608.23,84,678,Divorced,0,Diploma,Rented,0
62,Male,Self-Employed,Manager,3283.01,492.43,54897.16,240,838,Married,1,Bachelor,Rented,1
48,Male,Self-Employed,Accountant,5263.99,222.51,43378.29,180,698,Single,0,High School,Rented,1
36,Female,Self-Employed,Other,4407.43,288.12,8099.21,48,572,Single,3,Bachelor,Rented,1
35,Female,Self-Employed,Engineer,2772.35,538.67,109695.75,240,543,Divorced,1,Bachelor,Owned,1
67,Female,Employed,Doctor,5016.42,634.71,114405.3,12,564,Single,3,Bachelor,Rented,1
64,Female,Employed,Accountant,6570.38,289.36,79868.15,84,649,Married,1,Master,Rented,1
23,Other,Employed,Teacher,3044.41,437.48,57401.86,180,781,Married,4,Master,Owned,1
57,Male,Retired,Engineer,1803.98,9.43,132151.68,48,598,Married,0,Other,Owned,0
27,Male,Employed,Sales,3579.09,788.0,31258.54,24,793,Married,3,Other,Owned,1
41,Male,Employed,Clerk,5489.59,121.18,106129.93,24,694,Married,3,Master,Rented,1
29,Male,Employed,Doctor,6860.77,1294.86,154774.43,12,718,Married,2,Other,Rented,1
59,Female,Self-Employed,Sales,985.4,234.43,37038.11,60,716,Married,4,Master,Owned,1
38,Male,Self-Employed,Manager,4141.6,164.81,151885.61,84,727,Married,3,Master,Owned,1
24,Female,Employed,Clerk,3613.67,562.26,153354.93,48,647,Married,0,High School,Mortgaged,0
45,Male,Employed,Engineer,6508.1,1521.08,16685.7,48,493,Married,4,High School,Owned,1
34,Female,Unemployed,Clerk,500.0,39.1,8662.94,60,632,Married,3,Master,Rented,0
29,Female,Employed,Accountant,5196.01,253.95,194917.4,60,608,Divorced,0,Bachelor,Parental,0
46,Male,Employed,Farmer,4997.99,505.03,42709.62,240,704,Single,2,Master,Rented,1
22,Male,Self-Employed,Accountant,5686.33,946.26,165317.15,180,697,Single,2,Bachelor,Mortgaged,1
40,Male,Unemployed,Manager,3572.95,616.63,114560.88,240,658,Divorced,0,Bachelor,Rented,0
48,Male,Employed,Other,3298.0,129.49,56572.07,36,820,Married,4,Master,Owned,1
67,Male,Unemployed,Sales,500.0,68.64,30344.24,36,628,Single,0,PhD,Rented,0
27,Male,Unemployed,Accountant,982.25,79.06,101852.07,12,501,Married,0,High School,Rented,0
64,Male,Employed,Farmer,3775.4,953.69,84434.19,84,689,Widowed,2,Master,Owned,1
28,Female,Retired,Other,4400.38,413.95,141282.79,48,775,Married,2,Master,Rented,0
67,Female,Unemployed,Accountant,2141.18,538.74,181312.87,180,702,Married,2,Bachelor,Parental,1
55,Female,Unemployed,Teacher,500.0,64.28,162023.38,24,651,Single,3,Bachelor,Owned,0
34,Male,Self-Employed,Farmer,2854.69,622.25,58518.15,24,699,Divorced,3,High School,Rented,0
37,Female,Employed,Sales,4587.83,702.02,176391.98,120,827,Married,1,High School,Rented,1
56,Male,Employed,Doctor,5156.03,962.06,167511.31,60,609,Divorced,3,Bachelor,Mortgaged,0
60,Male,Employed,Other,5472.26,649.05,186181.57,12,682,Single,4,High School,Mortgaged,1
24,Female,Employed,Teacher,1620.77,373.53,94438.86,120,733,Single,4,Diploma,Mortgaged,1
22,Male,Employed,Doctor,3548.82,452.68,154872.16,120,700,Married,2,Master,Rented,0
26,Female,Student,Engineer,500.0,68.62,120373.32,84,660,Single,0,Bachelor,Owned,0
62,Female,Unemployed,Farmer,500.0,77.65,65548.04,48,645,Married,2,Bachelor,Rented,0
24,Male,Self-Employed,Teacher,500.0,124.77,198914.05,180,657,Widowed,0,Diploma,Rented,0
49,Male,Student,Clerk,500.0,98.91,12469.96,24,722,Married,2,Master,Mortgaged,1
38,Male,Unemployed,Engineer,500.0,52.37,36643.15,24,717,Divorced,2,Master,Parental,0
46,Female,Employed,Engineer,4827.07,970.7,179045.76,24,847,Married,4,Bachelor,Rented,1
64,Male,Employed,Other,4345.7,837.54,16809.75,36,557,Married,0,PhD,Rented,0
54,Male,Employed,Farmer,4052.65,1131.93,177930.03,84,820,Married,1,Master,Rented,1
30,Male,Self-Employed,Teacher,5194.77,1311.29,144468.19,12,663,Married,1,Master,Owned,1
56,Female,Employed,Manager,6194.2,1203.12,12153.38,24,672,Married,2,Master,Rented,1
34,Male,Self-Employed,Teacher,4224.88,432.85,88717.41,24,748,Married,2,High School,Rented,1
51,Male,Employed,Accountant,5180.18,1211.5,152121.94,12,748,Married,4,Bachelor,Parental,1
68,Female,Self-Employed,Engineer,2715.01,468.51,118704.56,36,772,Single,0,High School,Rented,0
35,Female,Unemployed,Sales,500.0,147.79,187494.9,120,789,Married,2,High School,Parental,0
28,Male,Self-Employed,Engineer,1438.53,106.81,174190.59,12,676,Widowed,1,Diploma,Rented,0
34,Male,Retired,Engineer,2623.87,62.7,69866.29,120,791,Married,0,Master,Owned,1
43,Male,Unemployed,Clerk,1678.61,35.2,21502.3,60,629,Married,2,Diploma,Owned,0
60,Female,Student,Manager,3031.49,582.07,189130.12,240,655,Married,0,Other,Owned,1
41,Male,Retired,Doctor,2632.83,741.87,105870.92,24,665,Married,4,Bachelor,Rented,0
36,Female,Unemployed,Doctor,1237.5,0.72,19507.54,12,637,Married,1,Diploma,Owned,0
65,Female,Self-Employed,Clerk,500.0,108.87,164232.24,240,684,Divorced,0,Bachelor,Rented,1
38,Female,Employed,Engineer,4350.61,857.59,174358.76,180,751,Married,1,Diploma,Parental,1
67,Male,Employed,Doctor,4315.46,948.07,129687.8,84,732,Single,2,Other,Rented,1
44,Female,Self-Employed,Farmer,6236.75,664.97,92264.25,60,630,Married,3,Master,Mortgaged,1
46,Female,Employed,Manager,5589.4,1375.82,134123.74,180,624,Married,0,High School,Owned,1
45,Female,Employed,Doctor,5741.38,77.0,142803.32,180,611,Married,1,PhD,Rented,1
65,Male,Retired,Clerk,3663.49,830.25,179140.84,60,687,Single,0,Master,Owned,0
61,Other,Student,Accountant,1068.16,85.58,191393.03,120,553,Single,2,High School,Mortgaged,0
49,Male,Unemployed,Doctor,2798.55,400.34,105292.58,12,608,Divorced,2,Bachelor,Owned,0
35,Male,Employed,Manager,1542.08,380.57,160706.43,48,643,Single,1,Bachelor,Rented,0
65,Male,Employed,Other,5219.32,424.89,193079.36,24,764,Married,4,Diploma,Rented,1
